Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
42	163	663	988	163	780	1162	573	1099	2306	573	1099	2306	428	1924	3854	514	1924	3854	41	56	76	41	56	76	1485	3852	5262	1485	3852	5262
43	167	676	1007	167	795	1185	587	1123	2355	587	1123	2355	445	2016	3905	534	2016	3905	43	57	80	43	57	80	1589	4121	5609	1589	4121	5609
44	171	689	1028	171	811	1209	601	1146	2405	601	1146	2405	463	2104	3953	556	2104	3953	44	59	83	44	59	83	1693	4409	5978	1693	4409	5978
45	175	703	1046	175	826	1231	616	1170	2454	616	1170	2454	480	2196	4004	576	2196	4004	44	59	83	44	59	83	1797	4718	6371	1797	4718	6371
46	179	716	1066	179	842	1254	630	1193	2503	630	1193	2503	496	2288	4052	596	2288	4052	46	62	86	46	62	86	1901	5051	6794	1901	5051	6794
47	183	729	1085	183	858	1276	644	1216	2553	644	1216	2553	515	2376	4103	618	2376	4103	46	62	86	46	62	86	2005	5402	7235	2005	5402	7235
48	187	742	1105	187	873	1300	659	1240	2602	659	1240	2602	531	2468	4151	638	2468	4151	48	64	89	48	64	89	2109	5783	7712	2109	5783	7712
49	191	755	1124	191	889	1323	673	1263	2652	673	1263	2652	498	2323	3820	598	2323	3820	46	61	85	46	61	85	2213	6186	8213	2213	6186	8213
50	195	769	1144	195	904	1345	687	1287	2701	687	1287	2701	516	2407	3864	620	2407	3864	46	61	85	46	61	85	2317	6618	8747	2317	6618	8747
51	198	782	1163	198	920	1368	702	1310	2750	702	1310	2750	535	2489	3910	642	2489	3910	48	64	88	48	64	88	2421	7080	9315	2421	7080	9315
52	202	795	1183	202	936	1391	716	1333	2800	716	1333	2800	551	2570	3954	662	2570	3954	48	64	88	48	64	88	2525	7506	9828	2525	7506	9828
53	206	808	1202	206	951	1414	730	1357	2849	730	1357	2849	570	2652	4000	684	2652	4000	49	66	91	49	66	91	2629	7956	10367	2629	7956	10367
54	210	821	1222	210	967	1437	744	1380	2899	744	1380	2899	586	2734	4060	704	2734	4060	51	67	94	51	67	94	2733	8435	10937	2733	8435	10937
55	214	835	1241	214	982	1459	759	1404	2948	759	1404	2948	605	2815	4150	726	2815	4150	51	67	94	51	67	94	2837	8942	11535	2837	8942	11535
56	218	848	1261	218	998	1483	773	1427	2997	773	1427	2997	623	2899	4270	748	2899	4270	52	70	97	52	70	97	2941	9477	12161	2941	9477	12161
57	222	861	1279	222	1014	1505	787	1450	3047	787	1450	3047	640	2978	4444	768	2978	4444	52	70	97	52	70	97	3045	10044	12820	3045	10044	12820
58	226	874	1300	226	1029	1528	802	1474	3096	802	1474	3096	658	3062	4616	790	3062	4616	54	72	100	54	72	100	3149	10647	13516	3149	10647	13516
59	230	887	1319	230	1045	1552	816	1497	3146	816	1497	3146	608	2827	4309	730	2827	4309	51	68	95	51	68	95	3253	11286	14246	3253	11286	14246
60	234	902	1337	234	1060	1574	830	1521	3195	830	1521	3195	626	2903	4464	752	2903	4464	51	68	95	51	68	95	3357	11964	15016	3357	11964	15016
61	237	915	1358	237	1076	1597	845	1544	3244	845	1544	3244	645	2978	4620	774	2978	4620	53	71	98	53	71	98	3461	12680	15821	3461	12680	15821
62	241	928	1376	241	1092	1619	859	1567	3294	859	1567	3294	662	3049	4775	795	3049	4775	53	71	98	53	71	98	3565	13442	16672	3565	13442	16672
63	245	941	1396	245	1107	1643	873	1591	3343	873	1591	3343	680	3125	4930	817	3125	4930	54	72	100	54	72	100	3669	14249	17565	3669	14249	17565
64	249	954	1417	249	1123	1666	887	1614	3393	887	1614	3393	698	3197	5085	838	3197	5085	54	72	100	54	72	100	3773	15104	18502	3773	15104	18502
65	253	968	1435	253	1138	1688	902	1638	3442	902	1638	3442	715	3272	5241	858	3272	5241	56	74	103	56	74	103	3877	16010	19486	3877	16010	19486
66	257	981	1454	257	1154	1712	916	1661	3491	916	1661	3491	733	3346	5396	880	3346	5396	57	77	106	57	77	106	3981	16916	20454	3981	16916	20454
67	261	994	1474	261	1170	1734	930	1684	3541	930	1684	3541	750	3419	5551	901	3419	5551	57	77	106	57	77	106	4085	17822	21406	4085	17822	21406
68	265	1007	1493	265	1185	1757	945	1708	3590	945	1708	3590	769	3492	5706	923	3492	5706	58	78	109	58	78	109	4189	18728	22340	4189	18728	22340
69	269	1020	1514	269	1201	1781	959	1731	3640	959	1731	3640	700	3169	5211	840	3169	5211	55	74	104	55	74	104	4293	19634	23257	4293	19634	23257
70	273	1034	1532	273	1216	1803	973	1755	3689	973	1755	3689	718	3235	5348	862	3235	5348	55	74	104	55	74	104	4397	20540	24157	4397	20540	24157
71	276	1047	1552	276	1232	1826	988	1778	3738	988	1778	3738	735	3302	5486	883	3302	5486	57	76	105	57	76	105	4501	21446	25038	4501	21446	25038
72	280	1060	1571	280	1248	1848	1002	1801	3788	1002	1801	3788	753	3365	5624	904	3365	5624	57	76	105	57	76	105	4605	22352	25902	4605	22352	25902
73	284	1073	1591	284	1263	1872	1016	1825	3837	1016	1825	3837	771	3432	5763	926	3432	5763	58	78	107	58	78	107	4709	23258	26746	4709	23258	26746
74	288	1086	1610	288	1279	1895	1030	1848	3887	1030	1848	3887	789	3496	5900	947	3496	5900	59	79	110	59	79	110	4813	24164	27572	4813	24164	27572
75	292	1101	1630	292	1294	1917	1045	1872	3936	1045	1872	3936	806	3563	6038	968	3563	6038	59	79	110	59	79	110	4917	25070	28378	4917	25070	28378
76	296	1114	1649	296	1310	1940	1059	1895	3985	1059	1895	3985	823	3630	6176	988	3630	6176	61	81	113	61	81	113	5021	25976	29165	5021	25976	29165
77	300	1127	1669	300	1326	1963	1073	1918	4035	1073	1918	4035	842	3694	6315	1011	3694	6315	61	81	113	61	81	113	5125	26882	29931	5125	26882	29931
78	304	1140	1688	304	1341	1986	1088	1942	4084	1088	1942	4084	860	3761	6452	1032	3761	6452	62	83	115	62	83	115	5229	27788	30678	5229	27788	30678
79	308	1153	1708	308	1357	2009	1102	1965	4134	1102	1965	4134	767	3346	5766	921	3346	5766	58	78	109	58	78	109	5333	28694	31403	5333	28694	31403
80	312	1167	1727	312	1372	2031	1116	1989	4183	1116	1989	4183	785	3404	5887	942	3404	5887	58	78	109	58	78	109	5437	29600	32108	5437	29600	32108
81	315	1180	1747	315	1388	2055	1131	2012	4232	1131	2012	4232	802	3462	6008	963	3462	6008	60	80	111	60	80	111	5541	30506	32792	5541	30506	32792
82	319	1193	1765	319	1404	2077	1145	2035	4282	1145	2035	4282	818	3520	6129	982	3520	6129	60	80	111	60	80	111	5645	31412	33453	5645	31412	33453
83	323	1206	1786	323	1419	2100	1159	2059	4331	1159	2059	4331	835	3576	6249	1003	3576	6249	61	81	112	61	81	112	5749	32318	34093	5749	32318	34093
84	327	1219	1805	327	1435	2124	1173	2082	4381	1173	2082	4381	853	3634	6370	1024	3634	6370	61	81	112	61	81	112	5853	33224	34710	5853	33224	34710
85	331	1233	1823	331	1450	2146	1188	2106	4430	1188	2106	4430	870	3690	6491	1044	3690	6491	62	82	115	62	82	115	5957	34130	35305	5957	34130	35305
86	335	1246	1844	335	1466	2169	1202	2129	4479	1202	2129	4479	887	3749	6612	1065	3749	6612	63	84	117	63	84	117	6061	35036	35877	6061	35036	35877
87	339	1259	1862	339	1482	2191	1216	2152	4529	1216	2152	4529	904	3805	6732	1085	3805	6732	63	84	117	63	84	117	6165	35942	36425	6165	35942	36425
88	343	1272	1882	343	1497	2215	1231	2176	4578	1231	2176	4578	921	3864	6853	1106	3864	6853	64	86	120	64	86	120	6269	36848	36950	6269	36848	36950
89	347	1285	1903	347	1513	2238	1245	2199	4628	1245	2199	4628	805	3359	5978	966	3359	5978	60	80	112	60	80	112	6373	37754	37451	6373	37754	37451
90	351	1300	1921	351	1528	2260	1259	2223	4677	1259	2223	4677	820	3409	6081	985	3409	6081	60	80	112	60	80	112	6477	38660	37927	6477	38660	37927
91	354	1313	1940	354	1544	2284	1274	2246	4726	1274	2246	4726	836	3460	6184	1004	3460	6184	61	81	114	61	81	114	6581	39566	38379	6581	39566	38379
92	358	1326	1960	358	1560	2306	1288	2269	4776	1288	2269	4776	852	3508	6288	1023	3508	6288	61	81	114	61	81	114	6685	40472	38805	6685	40472	38805
93	362	1339	1979	362	1575	2329	1302	2293	4825	1302	2293	4825	867	3558	6392	1041	3558	6392	62	83	115	62	83	115	6789	41378	39206	6789	41378	39206
94	366	1352	2000	366	1591	2353	1316	2316	4875	1316	2316	4875	883	3605	6495	1060	3605	6495	63	84	117	63	84	117	6893	42284	39582	6893	42284	39582
95	370	1366	2018	370	1606	2375	1331	2340	4924	1331	2340	4924	900	3655	6598	1080	3655	6598	63	84	117	63	84	117	6997	43190	39932	6997	43190	39932
96	374	1379	2038	374	1622	2398	1345	2363	4973	1345	2363	4973	915	3704	6702	1099	3704	6702	64	85	119	64	85	119	7101	44096	40255	7101	44096	40255
97	378	1392	2057	378	1638	2420	1359	2386	5023	1359	2386	5023	931	3754	6806	1118	3754	6806	64	85	119	64	85	119	7205	45002	40551	7205	45002	40551
98	382	1405	2077	382	1653	2444	1374	2410	5072	1374	2410	5072	947	3803	6909	1137	3803	6909	66	88	122	66	88	122	7309	45908	40821	7309	45908	40821
99	386	1418	2096	386	1669	2467	1388	2433	5122	1388	2433	5122	963	3852	7012	1156	3852	7012	66	88	122	66	88	122	7413	46814	41063	7413	46814	41063
100	390	1432	1600	390	1684	2489	1402	2457	4000	1402	2457	4000	981	3900	7000	1178	3900	7000	67	89	100	67	89	100	7517	47720	41277	7517	47720	41277
101	393	1445	1700	393	1700	2512	1417	2480	4200	1417	2480	4200	998	3950	7300	1198	3950	7300	68	90	105	68	90	105	7621	48626	41464	7621	48626	41464
102	397	1458	1800	397	1716	2535	1431	2503	4400	1431	2503	4400	1015	3998	7600	1219	3998	7600	68	90	110	68	90	110	7725	49532	41622	7725	49532	41622
103	401	1471	1900	401	1731	2558	1445	2527	4600	1445	2527	4600	1032	4049	7900	1239	4049	7900	69	92	115	69	92	115	7829	50438	41751	7829	50438	41751
104	405	1484	2000	405	1747	2581	1459	2550	4800	1459	2550	4800	1050	4097	8200	1261	4097	8200	69	92	120	69	92	120	7933	51344	41851	7933	51344	41851
105	409	1498	2100	409	1762	2603	1474	2574	5000	1474	2574	5000	1067	4147	8500	1281	4147	8500	70	93	125	70	93	125	8037	52250	41922	8037	52250	41922
106	413	1511	2200	413	1778	2627	1488	2597	5200	1488	2597	5200	1085	4198	8800	1302	4198	8800	71	94	130	71	94	130	8141	53156	41963	8141	53156	41963
107	417	1524	2300	417	1794	2649	1502	2620	5400	1502	2620	5400	1102	4244	9100	1323	4244	9100	71	94	135	71	94	135	8245	54062	41974	8245	54062	41974
108	421	1537	2400	421	1809	2672	1517	2644	5600	1517	2644	5600	1120	4295	9400	1344	4295	9400	72	96	140	72	96	140	8349	54968	41955	8349	54968	41955
109	425	1550	2500	425	1825	2696	1531	2667	5800	1531	2667	5800	1136	4343	9700	1364	4343	9700	73	97	145	73	97	145	8453	55874	41905	8453	55874	41905
110	2100	2100	2100	2100	2100	2100	6532	6532	6532	6532	6532	6532	8333	10000	10000	10000	10000	10000	130	130	130	130	130	130	160000	160000	160000	160000	160000	160000
