Missile	Id	pCltDoFunc	pCltHitFunc	pSrvDoFunc	pSrvHitFunc	pSrvDmgFunc	SrvCalc1	*srv calc 1 desc	Param1	*param1 desc	Param2	*param2 desc	Param3	*param3 desc	Param4	*param4 desc	Param5	*param5 desc	CltCalc1	*client calc 1 desc	CltParam1	*client param1 desc	CltParam2	*client param2 desc	CltParam3	*client param3 desc	CltParam4	*client param4 desc	CltParam5	*client param5 desc	SHitCalc1	*server hit calc 1 desc	sHitPar1	*server hit param1 desc	sHitPar2	*server hit param2 desc	sHitPar3	*server hit param3 desc	CHitCalc1	*client hit calc1 desc	cHitPar1	*client hit param1 desc	cHitPar2	*client hit param2 desc	cHitPar3	*client hit param3 desc	DmgCalc1	*damage calc 1	dParam1	*damage param1 desc	dParam2	*damage param2 desc	Vel	MaxVel	VelLev	Accel	Range	LevRange	Light	Flicker	Red	Green	Blue	InitSteps	Activate	LoopAnim	CelFile	animrate	AnimLen	AnimSpeed	RandStart	SubLoop	SubStart	SubStop	CollideType	CollideKill	CollideFriend	LastCollide	Collision	ClientCol	ClientSend	NextHit	NextDelay	xoffset	yoffset	zoffset	Size	SrcTown	CltSrcTown	CanDestroy	ToHit	AlwaysExplode	Explosion	Town	NoUniqueMod	NoMultiShot	Holy	CanSlow	ReturnFire	GetHit	SoftHit	KnockBack	Trans	Pierce	MissileSkill	Skill	ResultFlags	HitFlags	HitShift	ApplyMastery	SrcDamage	Half2HSrc	SrcMissDmg	MinDamage	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDamage	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	MinELev1	MinELev2	MinELev3	MinELev4	MinELev5	Emax	MaxELev1	MaxELev2	MaxELev3	MaxELev4	MaxELev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	HitClass	NumDirections	LocalBlood	DamageRate	TravelSound	HitSound	ProgSound	ProgOverlay	ExplosionMissile	SubMissile1	SubMissile2	SubMissile3	HitSubMissile1	HitSubMissile2	HitSubMissile3	HitSubMissile4	CltSubMissile1	CltSubMissile2	CltSubMissile3	CltHitSubMissile1	CltHitSubMissile2	CltHitSubMissile3	CltHitSubMissile4	EOL
icebolt	59	1		1																																																	35	35			40		7		81	81	255	1	0	1	Icebolt	1024	6	16					3			1		1							2											1	1	1			1			Ice Bolt	4																																							16			sorceress_icebolt_1	impact_cold_1			iceexplode															0
infernoflame1	60	1		1					8	"Mana Use, 16ths."	7	Minimum range																																									12	12			30		5		255	178	64	1	0	0	DiabloLightning	1024	15	16					3			1									1											1		1			1			Inferno	4																																						32	1		82	diablo_laser			diablolightning																0
infernoflame2	61	1		1					8	"Mana Use, 16ths."	7	Minimum range																																									12	12			30		5		255	178	64	1	0	0	DiabloLightning	1024	15	16					3			1									1											1		1			1			Inferno	4																																						32	1		82	sorceress_inferno																			0
fireball	62	1	1	1	1																												0	damage radius							3	explosions radius	1	explosions density									30	30			50		7		255	178	64	1	0	1	Fireball	1024	5	16					3	1		1		1							1											1	1	1			1			Fire Ball	5	2	8																		fire																			16			sorceress_fireball_1	sorceress_fireball_impact_1			explodingarrowexp											fireexplosion2				0
mummy1	63	1		1																																																	5	5			24				255	255	255	0	0	0	GreaterMummyBreath	1024	24	16					3			1		1							2											1		1			1				4		5																		pois	18	8	8	8	8	8	18	8	8	8	8	8		100					8																						0
mummy2	64	1		1																																																	5	5			24				255	255	255	0	0	0	GreaterMummyBreath	1024	24	16					3			1		1							2											1		1			1				4		5																		pois	18	8	8	8	8	8	18	8	8	8	8	8		200					8																						0
mummy3	65	1		1																																																	5	5			24				255	255	255	0	0	0	GreaterMummyBreath	1024	24	16					3			1		1							2											1		1			1				4		5																		pois	18	10	10	10	10	10	18	10	10	10	10	10		300					8																						0
mummy4	66	1		1																																																	5	5			24				255	255	255	0	0	0	GreaterMummyBreath	1024	24	16					3			1		1							2											1		1			1				4		5																		pois	18	10	10	10	10	10	18	10	10	10	10	10		400					8																						0
blazetwo	67	5		5	8	3																											19	softhit chance (128)															19	hit sound chance (128)							90	25	5	4	255	178	64	0	0	1	groundFireBig	1024	37	16		1	12	36	3				1		1						3	1	12									1				100	1			Blaze																																							32	1			object_fire_loop_magic																			0
sfirewallmaker	68	6		6																	4	no light freq																															12	12			7	2	8		255	178	64	0	0	1	groundFireBig	1024	2	16		1	1	2	8			1		1	1						1											1					1						8																																				32	1								sfirewall							sfirewall	firesmall	firemedium					0
sfirewall	69	5		5		3																											19	softhit chance (128)															19	hit sound chance (128)							90		5	4	255	178	64	0	0	1	groundFireBig	1024	37	16		1	12	36	3				1		1						1	1	12									1					1			SFire Wall																																							32	1		41	object_fire_loop_magic																			0
goospit1	70	1		1																																																	10	10			24				255	255	255	3	0	0	SandMaggotGooSpit	1024	24	16					3	1		1		1							1											1	1	1							4		4																		pois	15	12	12	12	12	12	15	12	12	12	12	12		50				176	16			tentaclehead_missile_1				goosplat															0
goospit2	71	1		1																																																	10	10			24				255	255	255	3	0	0	SandMaggotGooSpit	1024	24	16					3	1		1		1							1											1	1	1							4		4																		pois	18	12	12	12	12	12	18	12	12	12	12	12		50				176	16			tentaclehead_missile_1				goosplat															0
goospit3	72	1		1																																																	10	10			24				255	255	255	3	0	0	SandMaggotGooSpit	1024	24	16					3	1		1		1							1											1	1	1							4		4																		pois	21	12	12	12	12	12	21	12	12	12	12	12		50				176	16			tentaclehead_missile_1				goosplat															0
goospit4	73	1		1																																																	10	10			24				255	255	255	3	0	0	SandMaggotGooSpit	1024	24	16					3	1		1		1							1											1	1	1							4		4																		pois	24	12	12	12	12	12	24	12	12	12	12	12		50				176	16			tentaclehead_missile_1				goosplat															0
goospit5	74	1		1																																																	10	10			24				255	255	255	3	0	0	SandMaggotGooSpit	1024	24	16					3	1		1		1							1											1	1	1							4		4																		pois	27	12	12	12	12	12	27	12	12	12	12	12		50				176	16			tentaclehead_missile_1				goosplat															0
goosplat	75	1																																																							15				255	255	255	0	0	0	GooHit	1024	15	16						1		1									1											1	1	1							4		8																																					1																						0
sand pile	76	2																																																							128				255	255	255	0	0	0	SandMaggotSandPile	1024	1	16								1									1											1											8																																					8																						0
unholybolt1	77	1	25	1	20																												15	range	3	targets					15	range	3	targets									15	15			40		5		0	0	0	1	0	1	UnholyBolt	1024	16	16					3	1		1		1		1	1				1					1						1	1	1			2			UnHolyBolt	4		8																																					1			greatermummy_unholybolt_1								unholyboltchain							unholyboltchain				0
unholybolt2	78	1	25	1	20																												15	range	3	targets					15	range	3	targets									15	15			40		5		0	0	0	1	0	1	UnholyBolt	1024	16	16					3	1		1		1		1	1				1					1						1	1	1			2			UnHolyBolt	4		8																																					1			greatermummy_unholybolt_1								unholyboltchain							unholyboltchain				0
unholybolt3	79	1	25	1	20																												15	range	3	targets					15	range	3	targets									15	15			40		5		0	0	0	1	0	1	UnholyBolt	1024	16	16					3	1		1		1		1	1				1					1						1	1	1			2			UnHolyBolt	4		8																																					1			greatermummy_unholybolt_1								unholyboltchain							unholyboltchain				0
unholybolt4	80	1	25	1	20																												15	range	3	targets					15	range	3	targets									15	15			40		5		0	0	0	1	0	1	UnholyBolt	1024	16	16					3	1		1		1		1	1				1					1						1	1	1			2			UnHolyBolt	4		8																																					1			greatermummy_unholybolt_1								unholyboltchain							unholyboltchain				0
sanctuarycenter	81	1		1																																																					125				0	0	0	0	0	1	sanctuary	1024	40	16		1	10	30				1			1						1						1			1																																																		1																						0
fireexplosion	82	1		1																																																					15				255	178	64	0	0	0	FireArrowExplode2	1024	12	16					3			1									1						2			2				1			1				4		8																		fire	8	2	2	2	2	2	16	2	2	2	2	2							1				explosion_medium_1																		0
stuckarrow	83																																																				1	1			128				0	0	0	0	0	0	ArrowInGround	1024	1	16								1									1						1			1													8																																					32																						0
footprint	84																																																								128				0	0	0	0	0	0	Footsteps01	1024	2	16								1									1						1			1													8																																					32																						0
immolationarrowold	85	1	12	1	9				3	??? Radius																					75	fire duration	5	disc radius (0 = skill)	5	damage radius (0 = skill)			75	fire duration	5	disc radius (0 = skill)	10	disc density									40	40			40		9		255	178	64	1	0	1	FireArrow	1024	8	16					3	1		1		1							2				1	1						1	1	1			1	1		Immolation Arrow	5	2																			fire																		10	32			amazon_firearrow_1	explosion_medium_1							immolationfire							sfirewall	firesmall	firemedium		0
guidedarrow	86	7	13	7	10				5	retarget frame	15	retarget radius									5	Retarget Frame																															24	24			128		3		255	255	255	1	0	1	SafeArrow	1024	1	16					3	1				1							1					1						1	1	1			1			Guided Arrow	4																																						10	32			amazon_magicarrow_1																			0
freezingarrowold	87	1	14	1	4																												0	damage radius (0 = skill)																			40	40			40		5		81	81	255	1	0	1	IceArrow	1024	8	16					3	1		1		1							2				1	1						1	1	1			1	1			4	5	8		128																																			32			amazon_coldarrow_1	sorceress_iceblast_impact_1							freezingarrowexp3							freezingarrowexp1	freezingarrowexp2			0
freezingarrowexp1	88	1		1																																																					16		11		81	81	255	0	0	0	FreezeExplodeCenter	1024	15	16						1		1									1						1			1				1			1				4		8																																					1																						0
freezingarrowexp2	89	1		1																																																					16				81	81	255	0	0	0	FreezeExplodeEjecta	1024	15	16						1		1									1						1			1				1			1				4		8																																					8																						0
nova	90	1	1	1	1																												5	damage radius							4	explosions radius	1	explosions density									18	30	3		20		7		255	178	64	1	0	1	Fireball	1024	5	16					3	1		1		1							1											1	1	1			1			Immolation	5	2																			fire																		32	16			sorceress_fireball_1	sorceress_fireball_impact_1																		0
iceblast	91	7	13	7	10	4			3	Retarget Frame/Freeze Dur	25	retarget radius									3	Retarget Frame	25	retarget radius																													25	25			100		7		81	81	255	1	0	1	SnowSpirit	1024	15	16					3			1		1						55	1					1						1	1	1			1				4		8																																				48	32			necromancer_bonespirit_1	sorceress_iceblast_impact_1			freezingarrowexp1															0
blessedhammerold	92	19		15		5			2		1										2		1																										100	bonus dmg% undead	100	bonus dmg% demon	30	30		-50	140		5		222	222	255	6	0	1	blessedhammer	1024	6	16								1									1	1	8										1	1			1																								mag																			16			paladin_blessedhammer_1	paladin_holybolt_impact_1				blessedhammerexp							blessedhammerexp							0
chainlightning	93	8	16	1	12																3	Subloops											0	range (0 = skill)							0	range (0 = skill)											60	60			15		4		255	255	255	0	0	1	LightningStrike	1024	8	16					3	1		1		1		1	1				2											1	1	1			1			Conduit	4																																						64	32			sorceress_lightning_1			lightning									lightninghit							0
fistofares	94	1		1																																																	12	12			128		3		255	255	255	0	0	1	FOAorbiter	1024	9	16								1									1											1					1						8																																					1																						0
chillblood	95	1		1																																																	8	8			128		4		81	81	255	1	0	1	ChillBlood	1024	16	16					3	1		1		1							1											1		1			1				4		8																																				48	1																						0
glacialspike	96	1	14	1	13																												0	damage radius (0 = skill)	0	freeze length (0 = skill)																	30	30			40		5		81	81	255	1	0	1	GlacialSpike	1024	6	16					3	1		1		1							1											1	1	1			1			Glacial Spike	5	2																			frze																			16			sorceress_glacialspike_1	sorceress_iceblast_impact_1														freezingarrowexp1	freezingarrowexp2			0
teleport	97	1		1																																																					18		6		255	255	255	0	0	0	Teleport	1024	18	16								1									1						1			1							1						8																																					1																						0
lightningbolt	98	8		1																	3	Subloops																															60	60			15		4		255	255	255	0	0	2	null	1024	2	16					3			1		1							2											1	1	1			1			Zap	4																																						64	1			sorceress_lightning_1												lightninghit							0
lightninghit	99	1	10	1																			16	Z Range																																	12		3	4	255	255	255	0	0	1	LightningStrike	1024	8	16		1		7													1											1					1						8																		ltng	2	2	2	2	2	2	5	2	2	2	2	2						64	32						lightning																0
meteor	100	1																																																							16				0	0	0	0	0	1	Meteor	1024	12	16						1		1			1																	1																																																1																						0
meteorcenter	101	9	18	1	14																15	frames	25	fallrate	15	sliderate							0	range (0 = skill)	1	flames increment					5	# submissile1	3	# submissile3	15	# submissile4											16		4		255	64	64	0	0	1	MeteorTargetIndicator	1024	17	16								1			1						1					1						1		1			1		1		5	2	8																																					1					sorceress_meteor_impact						meteorfire				meteor	meteortail		meteorexplode	whitelightmissile	firemedium	firesmall	0
meteortail	102	1																																																							16				0	0	0	0	0	1	MeteorTail	1024	12	16						1		1																				1					1						8																																					1																						0
